a,b,c,d,e,f,g
Model_B,Model_B_7,Model_B,2,0.98982036,0.93880206,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_7/27212667
Model_B,Model_B_7,Model_B,4,0.99495065,0.9445168,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_7/27212667
Model_B,Model_B_8,Model_B,2,0.99585974,0.95203996,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_8/27363347
Model_B,Model_B_8,Model_B,0,0.99463874,0.9452045,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_8/27212669
Model_B,Model_B_8,Model_B,4,0.9892443,0.92693865,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_8/27392033
Model_B,Model_B_9,Model_B,1,0.99473464,0.9450955,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_9/27392040
Model_B,Model_B_9,Model_B,3,0.9563562,0.88671875,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_9/27392040
Model_B,Model_B_9,Model_B,2,0.9898291,0.922379,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_B/Model_B_9/27212670
Model_C,Model_C_0,Model_C,1,0.9876422,0.9377894,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_0/27242680
Model_C,Model_C_0,Model_C,2,0.99597675,0.9516782,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_0/27242680
Model_C,Model_C_0,Model_C,3,0.99434763,0.9389468,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_0/27392068
Model_C,Model_C_1,Model_C,1,0.9932496,0.94769967,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_1/27392071
Model_C,Model_C_1,Model_C,4,0.9935196,0.93735534,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_1/27392071
Model_C,Model_C_1,Model_C,3,0.9928397,0.9450605,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_1/27251488
Model_C,Model_C_1,Model_C,4,0.99442863,0.9437934,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_1/27251488
Model_C,Model_C_2,Model_C,1,0.9924125,0.9429977,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_2/27242692
Model_C,Model_C_2,Model_C,3,0.984393,0.9277344,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_2/27242692
Model_C,Model_C_2,Model_C,4,0.9780296,0.92541957,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_2/27242692
Model_C,Model_C_3,Model_C,0,0.99436563,0.9384404,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_3/27346314
Model_C,Model_C_3,Model_C,3,0.9939426,0.9388744,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_3/27346314
Model_C,Model_C_3,Model_C,4,0.9933846,0.9397425,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_3/27346314
Model_C,Model_C_4,Model_C,1,0.99562573,0.93995947,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27346319
Model_C,Model_C_4,Model_C,0,0.9928085,0.93967015,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27402031
Model_C,Model_C_4,Model_C,2,0.9951847,0.9406105,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27402031
Model_C,Model_C_4,Model_C,3,0.9926825,0.93916374,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27402031
Model_C,Model_C_4,Model_C,4,0.99593174,0.94082755,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_4/27402031
Model_C,Model_C_5,Model_C,2,0.9903514,0.9378617,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_5/27282739
Model_C,Model_C_5,Model_C,4,0.9940056,0.9419126,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_5/27282739
Model_C,Model_C_5,Model_C,4,0.98830825,0.92780674,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_5/27242808
Model_C,Model_C_6,Model_C,0,0.9915125,0.94140625,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_6/27282743
Model_C,Model_C_6,Model_C,3,0.9934566,0.94082755,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_6/27282743
Model_C,Model_C_6,Model_C,4,0.98867726,0.926577,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_6/27242814
Model_C,Model_C_7,Model_C,0,0.9932946,0.94408274,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300
Model_C,Model_C_7,Model_C,1,0.9937446,0.93822336,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300
Model_C,Model_C_7,Model_C,2,0.9911164,0.93619794,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300
Model_C,Model_C_7,Model_C,3,0.9874982,0.92809606,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300
Model_C,Model_C_7,Model_C,4,0.9919625,0.9357639,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27511300
Model_C,Model_C_7,Model_C,2,0.9939066,0.9329427,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_7/27282748
Model_C,Model_C_8,Model_C,1,0.99487865,0.94401044,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_8/27511362
Model_C,Model_C_8,Model_C,2,0.99656177,0.94487846,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_8/27511362
Model_C,Model_C_8,Model_C,3,0.99552673,0.9455295,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_8/27511362
Model_C,Model_C_8,Model_C,3,0.9909724,0.93561924,/global/cscratch1/sd/muszyng/cnn_model_runs/Model_C/Model_C_8/27242832
